Placa;Data Posicao;Velocidade;Ignicao;Bloqueio;Bateria;Rua;Cidade;Estado;Latitude/Longitute;Memoria;Odometro;RPM;Temperatura;Temperatura;Satelite;Alerta Interno;Sinal GPS
ITG7322;31/01/2018 19:07:58;7;Ligada;Nao;27;R Propriá;Guarulhos;SP;-23.4782,-46.4673;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:05:58;16;Ligada;Nao;27;Av Novo Brasil;Guarulhos;SP;-23.4782,-46.4701;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:03:58;30;Ligada;Nao;27;Av Santos Dumont;Guarulhos;SP;-23.4724,-46.4669;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:01:59;25;Ligada;Nao;27;Av Santos Dumont;Guarulhos;SP;-23.4647,-46.4682;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:01:58;22;Ligada;Nao;27;Av Santana da Boa Vista;Guarulhos;SP;-23.4646,-46.4683;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:59:58;35;Ligada;Nao;27;Av Santos Dumont;Guarulhos;SP;-23.4579,-46.4725;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:57:58;54;Ligada;Nao;27;AC P/ Rod Hélio Smidt;Guarulhos;SP;-23.4617,-46.4897;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:55:58;70;Ligada;Nao;27;Rod Pres Dutra;Guarulhos;SP;-23.4671,-46.5046;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:53:58;56;Ligada;Nao;27;Rod Pres Dutra;Guarulhos;SP;-23.4753,-46.5242;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:51:58;64;Ligada;Nao;27;Via Lateral-norte;Guarulhos;SP;-23.4869,-46.5424;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:49:58;13;Ligada;Nao;27;Av Prf José Munhoz;Guarulhos;SP;-23.4930,-46.5514;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:47:58;6;Ligada;Nao;27;Rod Pres Dutra;Guarulhos;SP;-23.4961,-46.5557;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:45:58;74;Ligada;Nao;27;Rod Fernão Dias;Guarulhos;SP;-23.4933,-46.5594;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:43:58;70;Ligada;Nao;27;Rod Fernão Dias;São Paulo;SP;-23.4721,-46.5641;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:41:58;75;Ligada;Nao;27;Rod Fernão Dias;São Paulo;SP;-23.4543,-46.5710;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:39:58;68;Ligada;Nao;27;Rod Fernão Dias;São Paulo;SP;-23.4323,-46.5694;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:37:58;69;Ligada;Nao;27;Rod Fernão Dias;São Paulo;SP;-23.4151,-46.5811;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:35:58;55;Ligada;Nao;27;Rod Fernão Dias;São Paulo;SP;-23.3998,-46.5767;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:33:58;49;Ligada;Nao;27;Rod Fernão Dias;São Paulo;SP;-23.3861,-46.5683;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:31:58;56;Ligada;Nao;27;Rod Fernão Dias;São Paulo;SP;-23.3759,-46.5620;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:29:58;61;Ligada;Nao;27;Rod Fernão Dias;São Paulo;SP;-23.3624,-46.5520;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:27:58;65;Ligada;Nao;27;Rod Fernão Dias;Mairiporã;SP;-23.3493,-46.5561;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:25:58;60;Ligada;Nao;27;Rod Fernão Dias;Mairiporã;SP;-23.3440,-46.5718;Nao;0;;-125;-125;Nao;Nao;Valido
